																					
id	name	sumary	desciption	rating	reviewCount	popularity	tags	openTime	closeTime	priceVND	houseNumber	street	   ward	district	city	Tọa độ	URL	phone	Img name	Img url	dwell
11	IPPUDO Le Thanh Ton Japanese Ramen Restaurant	Vua mì Ramen Nhật Bản chuẩn vị Tonkotsu toàn cầu.	Nhà hàng với phong cách sang trọng món ăn thơm ngon đầy đủ các món ăn từ ba miền đất nước 	4.9	5919	60	Món Nhật , Gia đình , Bạn bè, Hải sản 	11:00	0:00	300000	17/5	Lê Thánh Tôn 	phường Bến Nghé 	1	Hồ Chí Minh	10.780311635058668, 106.7049200206647	https://maps.app.goo.gl/TnDXn7wHHs8Cc61M7	02873056002	nha_hang_le_thanh_ton.png	https://i.pinimg.com/1200x/f0/d8/37/f0d83715dfdb4a2664f72baf93455021.jpg	30
12	Pizza 4P's Hai Ba Trung	Pizza lò củi kết hợp phô mai tự làm trứ danh.	Quán pizza nổi tiếng với hương vị thơn ngon với vị của nước sốt cà chua kết hợp lớp phô mai béo thơm.\	4.9	19193	90	Ăn vặt , Gia đình, Bạn bè	11:00	23:00	450000	151b	Hai Bà Trưng 	phường 6	3	Hồ Chí Minh	10.783211523420007, 106.69768877391672	https://maps.app.goo.gl/jjfTpNg9yqTJwu5J9	02836220500	pizza_4p.png	https://i.pinimg.com/736x/c6/98/03/c69803f4cca7116c7d5cc78c803765f3.jpg	40
13	Lẩu Nấm Mushana	Thiên đường lẩu nấm thiên nhiên bổ dưỡng và thanh lành.	Quán ăn chay với nhiều món ăn đa dạng dành cho những người muốn cơ thể nhẹ nhàng bổ sung chất sơ cho cơ thể.	4.9	72	80	Món chay, Gia đình, Bạn bè	10:00	22:00	200000	702	Luỹ Bán Bích 	phường Tân Thành 	Tân Phú 	Hồ Chí Minh	10.79054318979343, 106.63885236896303	https://maps.app.goo.gl/KwXUNmcC66HsnWNC8	0817532688	lau_nam_mushana.png	https://i.pinimg.com/1200x/2d/00/fd/2d00fde63b7f1a906dfeaadb4c024931.jpg	20
14	Nhà Hàng Đồ Ăn Thái - Thai Market Restaurant - Tầng 3 Aeon Mall Bình Tân	Ẩm thực Thái Lan chuẩn vị chua cay mặn ngọt.	Nhà hàng với niềm đam mê ẩm thực Thái Lan với hương vị chua cay siêu bắt vị.	4.9	1636	80	Món Thái , Gia đình , Bạn bè, Hải sản	10:00	22:00	400000	1	17A	Bình Trị Đông B 	Tân Bình	Hồ Chí Minh	10.743301758004403, 106.61257482966236	https://maps.app.goo.gl/nJjZQ73HVrLguBWx8	19000207	nha_hang_do_thai.png	https://i.pinimg.com/736x/e1/2c/b5/e12cb5bf6722cc47bfcf54562f777160.jpg	50
15	Bếp Ăn Hàn Quốc - Jokbal Damsa	Chuyên chân giò heo hầm Hàn Quốc hương vị đặc biệt.	Quán ăn với hương vị đúng chuẩn Hàn Quốc , thu hút nhiều thực khách đến thử và trải nghiệm niềm đam mê với các món ăn từ đất nước kim chi.	4.7	16	80	Món Hàn , Gia đình, Bạn bè,Hải sản	10:00	22:00	320000	4	Tăng Bạt Hồ 	phường 12	5	Hồ Chí Minh	10.75841117240074, 106.6633959583134	https://maps.app.goo.gl/JGyz8xrZwMsr7Yxj6	0902260944	bep_an_han_quoc.png	https://i.pinimg.com/736x/0b/03/17/0b0317abadb2d5d8a42e6f403d3c106b.jpg	40
16	Quán ăn Hàn Quốc Kimtok	Điểm hẹn nướng và lẩu chuẩn phong cách xứ sở Kim Chi.	Quán ăn với hương vị đúng chuẩn Hàn Quốc , thu hút nhiều thực khách đến thử và trải nghiệm niềm đam mê với các món ăn từ đất nước kim chi.	4.1	5	40	Món Hàn , Gia đình, Bạn bè,Hải sản	10:00	22:00	170000	29	Hoà Hảo 	phường 12	10	Hồ Chí Minh	10.762798604365477, 106.67234105291143	https://maps.app.goo.gl/zvFRPQChPC7NvQVo6	Null	quan_an_han_quoc.png	https://i.pinimg.com/736x/c4/73/99/c47399fd7164380d942545012710d47f.jpg	30
17	Hoa Thiện Vegetarian	Ẩm thực chay thanh tịnh và tinh tế cho tâm hồn.	Nhà hàng với các món ăn đậm chất Việt Nam tràn đầy hương vị quê hương.	4.5	153	50	Món Việt ,Ăn vặt , Gia đình, Bạn bè	6:00	18:00	100000	1	Bà Triệu 	phường 12	5	Hồ Chí Minh	10.757439367045073, 106.66282249897847	https://maps.app.goo.gl/xUTgNC6tTBruGo8j7	0938623669	hoa_thien.png	https://i.pinimg.com/1200x/e8/c1/79/e8c1790f1f62ddd7d8fc24cf11bc1e25.jpg	60
18	Van Hoa Restaurant	Không gian ẩm thực và yến tiệc sang trọng đẳng cấp.	Nhà hàng mang phong cách sang trọng với nhiều món ăn đa dạng .	4.3	748	20	Món Việt ,Ăn vặt , Gia đình, Bạn bè	7:00	21:00	300000	68	Tản Đà 	phường 11	5	Hồ Chí Minh	10.753152340006181, 106.66460212558053	https://maps.app.goo.gl/LyVgK2pt4DcKu2rEA	02838563888	van_hoa.png	https://i.pinimg.com/1200x/6a/a1/ce/6aa1cef4681ef03a09cbce2cf917cfa5.jpg	60
19	Vị Phở Restaurant	Tinh túy phở Việt truyền thống đậm đà hương vị.	Nhà hàng nổi tiếng ở Sài Gòn về món ăn đặt trưng của Việt Nam "Phở" với hương vị đậm đà thơm ngon.	4.9	171	90	Món Nước, Món Việt ,Ăn vặt , Gia đình, Bạn bè	9:00	11:00	200000	264	Bùi Viện 	phường Phạm Ngũ lão 	1	Hồ Chí Minh	10.765819920175026, 106.69031449639094	https://maps.app.goo.gl/Hyc5hgu3K7PcSCRq5	0825587079	vi_pho.png	https://i.pinimg.com/1200x/c1/6e/e0/c16ee098fb543c4efe0d9dae5a316e6b.jpg	40
20	Sen Đại Việt Restaurant	Độc đáo các món ngon chế biến sáng tạo từ sen.	Nhà hàng với các món ăn đa dạng đầy đủ hương vị 	4.8	2778	90	Món Việt ,Ăn vặt , Gia đình, Bạn bè	0:00	23:59	250000	230	Bùi Viện 	phường Phạm Ngũ lão 	1	Hồ Chí Minh	10.76655771899879, 106.69179507568823	https://maps.app.goo.gl/hE6hLfZC5W9YVciF7	0356154334	sen_dai_viet.png	https://i.pinimg.com/1200x/64/e1/4b/64e14bdf97dbcf3a28b61fe4eed9c626.jpg	40
21	Chicago Cơm Ngon Hà Nội	Hương vị cơm bắc chuẩn vị gia đình ấm cúng.	Quán cơm gia đình với nhiều món ăn tạo cho các cuộc hội họp gia đình thêm trọn vẹn 	4.9	260	80	Món Việt ,Ăn vặt , Gia đình, Bạn bè	9:00	20:00	150000	134	Nguyễn Du 	Bến Thành 	1	Hồ Chí Minh 	10.774900471169003, 106.69430359018426	https://maps.app.goo.gl/CJw8JYG6PVDH7gAs8	Null	chicago_com_ngon.png	https://i.pinimg.com/1200x/b0/4a/13/b04a13a6f69a4770a37fe960bc80dee1.jpg	50
22	Hải sản Xô Seafood	Thưởng thức hải sản sốt Cajun phong cách Mỹ mới lạ.	Nhà hàng với nhiều loại hải sản tươi sống két hợp với sốt đặt trưng của quán có vừa thể hiện được hương vị nguyên bản của hải sản và hương vị sốt siêu ngon.	4.8	3013	90	Món Việt ,Ăn vặt , Gia đình, Bạn bè	9:00	22:00	300000	129	Ông Chợ Dừa 	Chợ Dừa 	Đống Đa 	Hà Nội 	21.021651300274176, 105.82644369226101	https://maps.app.goo.gl/St9Jwk3NYJMyZ1sB6	965694008	hai_san_xo.png	https://i.pinimg.com/1200x/ad/57/77/ad5777a6132b19169aacc47228743a56.jpg	80
23	Botanica Restaurant	Không gian lãng mạn với bít tết và rượu vang kiểu Âu.	Nhà hàng phù hợp với các cặp đôi với không gian lãng mạn ấm cũng phù hợp cho một buổi hẹn hò.	4.6	1197	100	Món Việt ,Ăn vặt , Gia đình, Bạn bè	8:30	22:00	200000	116/D4		Khu tập thể giang võ	Ba Đình 	Hà Nội 	21.02802862013956, 105.82461237206904	https://maps.app.goo.gl/cXx1YxvcnAkcnrRUA	963615086	botanica.png	https://i.pinimg.com/1200x/85/89/c2/8589c218be7b744ec970eae417e4a2b5.jpg	100
24	Era Restaurant	Quán Âu nhỏ xinh ấm cúng bên ánh nến.	Nhà hàng với nhiều loại hải sản tươi sống két hợp với sốt đặt trưng của quán có vừa thể hiện được hương vị nguyên bản của hải sản và hương vị sốt siêu ngon.	4.9	2223	60	Món Việt ,Ăn vặt , Gia đình, Bạn bè	10:30	23:00	200000	48	Mã Mây	Hàng Buồm 	Hoàng Kiếm 	Hà Nội 	21.036847898744707, 105.85589481864955	https://maps.app.goo.gl/NzCrwWwNVETRnsjD9	934453789	era.png	https://i.pinimg.com/1200x/e8/62/36/e8623619186cd0321c1cec5d4b72686f.jpg	60
25	Harbour Restaurant	Nhà hàng view sông đẳng cấp với thực đơn Á - Âu.	Nhà hàng với phong cách quan trọng phù hợp với các buổi gặp mặt gia đình đối tác trong không gian sang trọng.	4.2	316	30	Món Việt ,Ăn vặt , Gia đình, Bạn bè	11:00	23:00	1000000	91	Nguyễn Chí Thanh 	Thành Công	Đống Đa	Hà Nội 	21.022127674304798, 105.80916663676474	https://maps.app.goo.gl/kstYChwi86QHL6tx7	964706666	harbour.png	https://i.pinimg.com/736x/18/52/14/185214f90be839e5ef62bb6586bec9ec.jpg	50
26	Khuê Restaurant	Ẩm thực Việt đương đại trong không gian nghệ thuật.	Nhà hàng với phong cách ấm cũng hợp với các cuộc hẹn hò hâm nóng tình cảm giữa các cập đôi tạo cho nhau bầu không khí yên tĩnh lãng mạn trò truyện.	4.9	1307	100	Món Việt ,Ăn vặt , Gia đình, Bạn bè	11:00	22:00	700000	46A	Nguyễn Trường Tộ 	Trúc Bạch 	Ba Đình 	Hà Nội 	21.04438230149531, 105.84361653676474	https://maps.app.goo.gl/QpakQ99tS1wmyKQUA	384686859	khue.png	https://i.pinimg.com/1200x/0e/d1/a9/0ed1a955ce5c1cc1ed05126f32fbe0b8.jpg	50
27	Grille6 Steakhouse	Bít tết bò Mỹ mềm mọng chuẩn vị Âu giá hợp lý.	Nhà hàng phong cách châu âu cổ sang trọng quý phái phù hợp với các buổi tiệc gia đình tiếp đối tác và khách quý .	4.6	1497	60	Món Việt ,Ăn vặt , Gia đình, Bạn bè	9:30	22:00	400000	184	Hào Nam	Chợ Dừa 	Đống Đa	Hà Nội 	21.0289553096791, 105.82805912086813	https://maps.app.goo.gl/kcoZk54bsFypQZDd7	976205805	grile6_steakhouse.png	https://i.pinimg.com/1200x/54/41/1c/54411c0b937610f29d9e6f9525c587b7.jpg	50
28	Ngon Garden	Khu vườn ẩm thực Việt đa dạng và xanh mát giữa trung tâm.	Không gian thoáng đảng tạo cho khách hàng cảm giác như đang ngồi ăn giữa một khu vườn xanh mát .	4.1	1997	10	Món Việt ,Ăn vặt , Gia đình, Bạn bè	6:30	22:30	700000	70	Nguyễn Du 	Trần Hưng Đạo 	Hai Bà Trưng 	Hà Nội 	21.021424375755995, 105.84591190311924	https://maps.app.goo.gl/8NaD5xb2NAqqAEUd9	902226224	ngon.png	https://i.pinimg.com/1200x/28/07/ae/2807aebd2ccd62b1cb9c203786f62269.jpg	40
29	Rice Bistro	Biến tấu sáng tạo nâng tầm hạt gạo Việt Nam.	Một quán ăn nằm trong một khu văn hoá với không gian ấm cũng phù hợp cho gia đình bạn bè đến để trò truyện.	4.7	1064	90	Món Việt ,Ăn vặt , Gia đình, Bạn bè	11:00	21:00	500000	32	Hành Mành 	Hàng Gai 	Hoàng Kiếm 	Hà Nội 	21.03304108268602, 105.84814350090062	https://maps.app.goo.gl/jxfkjUqKcQPAmQa86	2438285053	rice_bistro.png	https://i.pinimg.com/1200x/15/ba/6b/15ba6b0c93ffdfb43c82072fc8eeaaf9.jpg	40
30	Lương Sơn Restaurant	Quán nhậu phong cách kiếm hiệp độc đáo tại Sài Gòn.	Nhà hàng với phong cách độc lạ mang tone vàng chủ yếu tạo cho không gian ấm áp phù hợp với gia đình.	3.9	1443	10	Món Việt ,Ăn vặt , Gia đình, Bạn bè	10:00	23:00	400000	1	Quang Nhân 	Nhân Chính 	Thanh Xuân 	Hà Nội 	21.009768961817436, 105.81349866197161	https://maps.app.goo.gl/GfXPefkquZc3pykw8	937716688	luong_son.png	https://i.pinimg.com/736x/ba/7b/15/ba7b15b1bf8875fb8e337dc8d716c495.jpg	50
31	Lua Viet Restaurant	Nơi lưu giữ hương vị cơm nhà thuần Việt an lành.	Nhà hàng với các món ăn truyền thống của miền quê Việt Nam dân dã và tràng đầy hương vị tuổi thơ của biết bao nhiêu thực khách.	4.8	548	100	Món Việt ,Ăn vặt , Gia đình, Bạn bè	9:30	21:30	700000	42B	Lâm Hoành 	An Hải 	Sơn Trà 	Đà Nẵng	16.06180436512666, 108.24526855280749	https://maps.app.goo.gl/dE7MgTC7qb31byiu8	797618589	lua_viet.png	https://i.pinimg.com/736x/e5/24/86/e524869fa3d01099a436faa2c4ed8182.jpg	60
32	Nhà Hàng Ngọc Sương Saigon	Thương hiệu hải sản danh tiếng lâu đời bậc nhất.	Thương hiệu hải sản lâu đời và danh tiếng bậc nhất Sài Gòn, nổi bật với kiến trúc sang trọng kiểu châu Âu và các món hải sản chế biến tinh tế, đặc biệt là món gỏi cá trứ danh.	4.3	629	50	Món Việt ,Ăn vặt , Gia đình, Bạn bè	10:00	22:00	800000	106	Sương Nguyệt Anh 	Bến Thành 	1	Hồ Chí Minh 	10.773635996942971, 106.68806076104629	https://maps.app.goo.gl/wWx8gd4iSZYQwR6C6	2839256939	nha_hang_ngoc_suong.png	https://lh3.googleusercontent.com/p/AF1QipMndBHaHIgt1TdIVR6i18eYt-CNlxsjoLFaL9I=w426-h240-k-no	60
33	Hoang Tam	Đặc sản bánh xèo và món ngon miền Tây dân dã.	Chuỗi nhà hàng chuyên về ẩm thực dân dã Nam Bộ, nổi tiếng với bánh xèo chảo lớn giòn rụm, lẩu mắm và các món đặc sản miền Tây sông nước chuẩn vị.	4.4	1970	40	Món Việt ,Ăn vặt , Gia đình, Bạn bè	10:00	22:00	500000	TK22/1	Nguyễn Cảnh Chân	Cầu Kho 	1	Hồ Chí Minh 	10.758611715769833, 106.68920259810454	https://maps.app.goo.gl/ptYozTVWNgAnLXwc6	773998883	hoang_tam.png	https://lh3.googleusercontent.com/p/AF1QipNl-qL-f35hHdzame87Wid31-5GC0CgyhQsMj7o=w408-h306-k-no	60
34	Ngon Restaurant	Nơi hội tụ tinh hoa ẩm thực đường phố ba miền.	Tọa lạc trong một biệt thự Pháp cổ, nhà hàng tái hiện không gian chợ quê với các quầy hàng phục vụ đầy đủ đặc sản 3 miền Bắc - Trung - Nam, rất thu hút khách du lịch.	4	10826	40	Món Việt ,Ăn vặt , Gia đình, Bạn bè	7:00	22:30	900000	140	Pasteur	Bến Nghé 	1	Hồ Chí Minh 	10.778412553324634, 106.69934382355366	https://maps.app.goo.gl/iwSPkVhYFYDNkyFQ8	2838277131	ngon.png	https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzA-rJMVB1iGpfRjxdVXu8SppZjtDPgwJ8MbnbLhqZu-IPftk35mBTLtojv6oGKpjEHtwRLhkC7B2ubyhTCh8-CZE64VR26_qM1pFEpiBOskh2DR-iAhOezTMy9YIgAS8mIcTj-ik2feIGv=w408-h543-k-no	40
35	Hàng Dương Quán Q1	Điểm hẹn hải sản tươi sống và bia tươi sầm uất.	Địa điểm ẩm thực và giải trí sôi động ngay trung tâm Quận 1, chuyên phục vụ các loại hải sản tươi sống, món Âu - Á và hầm rượu vang đẳng cấp.	4.5	619	60	Món Việt ,Ăn vặt , Gia đình, Bạn bè	9:00	23:30	1000000	32-34	Ngô Đức Kế 	Bến Nghé 	1	Hồ Chí Minh 	10.77460168665348, 106.70561305213434	https://maps.app.goo.gl/VagadFWj8b5Nm3D28	968817788	huong_duong_quan.png	https://lh3.googleusercontent.com/p/AF1QipO9KpHuPr2xUa91OCRmfjyh8d_y4ZEsJ0hQAbqq=w408-h408-k-no	50
36	Thai Market	Ẩm thực Thái giữa lòng Sài Gòn 	Nhà hàng mang đến hương vị Thái Lan đích thực, cay nồng và đậm đà với menu phong phú từ Pad Thái, Tom Yum đến các món gỏi đặc trưng trong không gian trẻ trung.	4.7	2019	80	Món Thái , Gia đình , Bạn bè, Hải sản	10:00	22:00	500000	95	Cao Thắng 	3	3	Hồ Chí Minh 	10.773352036489552, 106.68034582993742	https://maps.app.goo.gl/iTfuq5voyhjtRarQ6	19000207	thai_martket.png	https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwY9bCbpY9U4C0L8y5hSnhik4UAeQg1T_OqdA4n-juZ-LyRbh1mAGhV03ksv4Q1wBRErG5Aswfd8fe-bUVXW7ODkixKjOcA4jLbnLsTwAubH26yxxzxNTqh3G626W33FYM1KkGHAQ=w408-h408-k-no	50
37	Viet Kitchen - International Vietnamese Restaurant	Buffet quốc tế sang trọng tại khách sạn 5 sao Renaissance.	Nhà hàng buffet nằm trong khách sạn Renaissance Riverside, phục vụ sự kết hợp tuyệt vời giữa ẩm thực Việt Nam truyền thống và các món ăn quốc tế hiện đại, hải sản cao cấp.	4.7	381	90	Món Việt ,Ăn vặt , Gia đình, Bạn bè	6:00	23:00	850000	15	Tôn Đức Thắng 	Bến Nghé 	1	Hồ Chí Minh 	10.775325777346104, 106.70701486114285	https://maps.app.goo.gl/997VVwArdpnvCqNS9	2838220033	viet_kitchen.png	https://lh3.googleusercontent.com/p/AF1QipPHrezd_9fmQyDbe83f2yRRS6N7AwS1tu_2q3aX=w408-h248-k-no	30
